folder,file_name,affect_rating_segment,segment_start_sec,segment_end_sec,duration_sec,duration_msec,happiness_full_video,surprise_full_video,lab_id,subj_id,trial_num
4,bllumanitoba_5372_1,4,2,12,10,10000,0,0,bllumanitoba,5372,1
2,bllumanitoba_5372_2,4,2,12,10,10000,0,0,bllumanitoba,5372,2
2,bllumanitoba_5372_3,4,2,12,10,10000,0,0,bllumanitoba,5372,3
2,bllumanitoba_5372_4,4,10.74,12,1.26,1260,0,0,bllumanitoba,5372,4
2,bllumanitoba_5372_5,4,4.87,5.94,1.07,1070,0,0,bllumanitoba,5372,5
2,bllumanitoba_5372_6,4,2,12,10,10000,0,0,bllumanitoba,5372,6
7,bllumanitoba_5390_1,5,7.986,8.8316,0.8456,845.6,1,0,bllumanitoba,5390,1
4,bllumanitoba_5390_10,4,2,12,10,10000,0,0,bllumanitoba,5390,10
7,bllumanitoba_5390_11,4,2,12,10,10000,0,0,bllumanitoba,5390,11
2,bllumanitoba_5390_12,4,2,12,10,10000,0,0,bllumanitoba,5390,12
7,bllumanitoba_5390_13,4,2,12,10,10000,0,0,bllumanitoba,5390,13
7,bllumanitoba_5390_2,4,2,12,10,10000,0,0,bllumanitoba,5390,2
7,bllumanitoba_5390_3,4,2,12,10,10000,0,0,bllumanitoba,5390,3
4,bllumanitoba_5390_4,4,2,12,10,10000,0,0,bllumanitoba,5390,4
2,bllumanitoba_5390_5,4,2,12,10,10000,0,0,bllumanitoba,5390,5
7,bllumanitoba_5390_6,4,2,12,10,10000,0,0,bllumanitoba,5390,6
2,bllumanitoba_5390_7,4,2,12,10,10000,0,0,bllumanitoba,5390,7
7,bllumanitoba_5390_8,4,2,12,10,10000,0,0,bllumanitoba,5390,8
7,bllumanitoba_5390_9,5,11.253,12,0.747,747,1,0,bllumanitoba,5390,9
4,bllumanitoba_5391_1,3,2,12,10,10000,2,0,bllumanitoba,5391,1
2,bllumanitoba_5391_2,4,3.807,12,8.193,8193,0,0,bllumanitoba,5391,2
2,bllumanitoba_5391_3,4,2,12,10,10000,0,0,bllumanitoba,5391,3
4,bllumanitoba_5391_4,3,2,12,10,10000,2,0,bllumanitoba,5391,4
4,bllumanitoba_5391_5,3,7.59,12,4.41,4410,2,0,bllumanitoba,5391,5
4,bllumanitoba_5391_6,4,2,12,10,10000,0,0,bllumanitoba,5391,6
2,bllumanitoba_5391_7,3,3.762,6.996,3.234,3234,2,0,bllumanitoba,5391,7
2,bllumanitoba_5391_7,3,8.25,10.164,1.914,1914,2,0,bllumanitoba,5391,7
2,bllumanitoba_5391_7,3,10.428,12,1.572,1572,2,0,bllumanitoba,5391,7
4,bllumanitoba_5391_8,NA,NA,NA,0,0,NA,NA,bllumanitoba,5391,8
7,bllumanitoba_5402_1,5,2,4.455,2.455,2455,1,0,bllumanitoba,5402,1
4,bllumanitoba_5402_2,4,2,12,10,10000,0,0,bllumanitoba,5402,2
7,bllumanitoba_5402_3,4,2,12,10,10000,0,0,bllumanitoba,5402,3
7,bllumanitoba_5402_4,4,2,12,3,3000,0,0,bllumanitoba,5402,4
NA,bllumanitoba_5402_4,4,9.339,10.065,0.726,726,0,0,bllumanitoba,5402,4
4,bllumanitoba_5402_5,5,2,10.567,8.567,8567,1,0,bllumanitoba,5402,5
7,bllumanitoba_5402_6,4,2,12,10,10000,0,0,bllumanitoba,5402,6
2,bllumanitoba_5402_7,5,2,7.722,5.722,5722,1,0,bllumanitoba,5402,7
2,bllumanitoba_5402_7,5,8.382,12,3.618,3618,1,0,bllumanitoba,5402,7
4,bllumanitoba_5404_1,3,2,12,10,10000,2,0,bllumanitoba,5404,1
2,bllumanitoba_5404_2,4,2,12,10,10000,0,0,bllumanitoba,5404,2
2,bllumanitoba_5404_3,4,2,12,10,10000,0,0,bllumanitoba,5404,3
7,bllumanitoba_5404_4,4,6.996,9.996,3,3000,0,1,bllumanitoba,5404,4
2,bllumanitoba_5404_5,4,8.099,9.933,1.834,1834,0,0,bllumanitoba,5404,5
4,bllumanitoba_5404_6,3,2,12,10,10000,2,0,bllumanitoba,5404,6
7,bllumanitoba_5404_7,4,2,12,10,10000,0,0,bllumanitoba,5404,7
7,bllumanitoba_5404_8,4,2,12,10,10000,0,0,bllumanitoba,5404,8
7,bllumanitoba_5411_1,4,2,12,10,10000,0,0,bllumanitoba,5411,1
7,bllumanitoba_5411_2,3,9.952,11.056,1.104,1104,2,1,bllumanitoba,5411,2
7,bllumanitoba_5411_3,5,3.333,3.927,0.594,594,1,0,bllumanitoba,5411,3
7,bllumanitoba_5411_3,5,5.94,8.283,2.343,2343,1,0,bllumanitoba,5411,3
4,bllumanitoba_5411_4,5,2,12,10,10000,1,1,bllumanitoba,5411,4
2,bllumanitoba_5411_5,5,6.699,8.481,1.782,1782,1,0,bllumanitoba,5411,5
7,bllumanitoba_5411_6,5,5.907,7.887,1.98,1980,1,0,bllumanitoba,5411,6
7,bllumanitoba_5411_6,5,10.296,11.022,0.726,726,1,0,bllumanitoba,5411,6
7,bllumanitoba_5411_7,5,2,12,10,10000,1,0,bllumanitoba,5411,7
4,bllumanitoba_5411_8,4,2,12,10,10000,0,0,bllumanitoba,5411,8
7,bllumanitoba_5411_9,3,6.27,7.062,0.792,792,2,0,bllumanitoba,5411,9
2,bllumanitoba_5414_1,5,2,10.428,8.428,8428,1,1,bllumanitoba,5414,1
7,bllumanitoba_5414_10,4,2,12,10,10000,0,1,bllumanitoba,5414,10
4,bllumanitoba_5414_11,4,2,12,10,10000,0,1,bllumanitoba,5414,11
7,bllumanitoba_5414_12,5,2,7.392,5.392,5392,1,0,bllumanitoba,5414,12
7,bllumanitoba_5414_12,5,7.887,8.448,0.561,561,1,0,bllumanitoba,5414,12
7,bllumanitoba_5414_12,5,10.395,11.286,0.891,891,1,0,bllumanitoba,5414,12
4,bllumanitoba_5414_13,3,2,12,10,10000,2,1,bllumanitoba,5414,13
7,bllumanitoba_5414_14,4,2,12,10,10000,0,0,bllumanitoba,5414,14
4,bllumanitoba_5414_2,5,2,9.813,7.813,7813,1,1,bllumanitoba,5414,2
7,bllumanitoba_5414_3,5,7.491,8.25,0.759,759,1,0,bllumanitoba,5414,3
7,bllumanitoba_5414_4,4,2,12,10,10000,0,0,bllumanitoba,5414,4
7,bllumanitoba_5414_5,4,2,12,10,10000,0,0,bllumanitoba,5414,5
4,bllumanitoba_5414_6,4,2,11.564,9.564,9564,0,1,bllumanitoba,5414,6
4,bllumanitoba_5414_7,4,2,12,10,10000,0,0,bllumanitoba,5414,7
4,bllumanitoba_5414_8,3,2,12,10,10000,2,1,bllumanitoba,5414,8
4,bllumanitoba_5414_9,4,2,12,10,10000,0,0,bllumanitoba,5414,9
4,bllumanitoba_5415_1,3,2,12,10,10000,2,0,bllumanitoba,5415,1
2,bllumanitoba_5415_10,3,2.55,9.504,6.954,6954,2,0,bllumanitoba,5415,10
2,bllumanitoba_5415_10,3,5.99,7.095,1.105,1105,2,0,bllumanitoba,5415,10
7,bllumanitoba_5415_11,5,5.973,11.68,5.707,5707,1,0,bllumanitoba,5415,11
2,bllumanitoba_5415_12,3,3.465,6.435,2.97,2970,2,0,bllumanitoba,5415,12
2,bllumanitoba_5415_13,3,2,12,10,10000,2,0,bllumanitoba,5415,13
2,bllumanitoba_5415_13,3,5.61,6.93,1.32,1320,2,0,bllumanitoba,5415,13
2,bllumanitoba_5415_13,3,7.755,9.075,1.32,1320,2,0,bllumanitoba,5415,13
2,bllumanitoba_5415_14,6,2,4.95,2.95,2950,1,0,bllumanitoba,5415,14
2,bllumanitoba_5415_14,6,2,9.075,7.075,7075,1,0,bllumanitoba,5415,14
4,bllumanitoba_5415_2,7,2,12,10,10000,1,0,bllumanitoba,5415,2
7,bllumanitoba_5415_3,5,7.557,8.316,0.759,759,1,0,bllumanitoba,5415,3
7,bllumanitoba_5415_4,4,2,12,10,10000,0,0,bllumanitoba,5415,4
7,bllumanitoba_5415_5,4,2,12,10,10000,0,0,bllumanitoba,5415,5
2,bllumanitoba_5415_6,5,2,12,10,10000,1,0,bllumanitoba,5415,6
2,bllumanitoba_5415_7,6,2,11.055,9.055,9055,1,0,bllumanitoba,5415,7
2,bllumanitoba_5415_7,6,5.775,11.055,5.28,5280,1,0,bllumanitoba,5415,7
7,bllumanitoba_5415_8,5,2,2.706,0.706,706,1,0,bllumanitoba,5415,8
2,bllumanitoba_5415_9,6,2,12,10,10000,1,0,bllumanitoba,5415,9
2,bllumanitoba_5415_9,6,2,3.201,1.201,1201,1,0,bllumanitoba,5415,9
4,bllumanitoba_5416_1,4,2,12,10,10000,0,0,bllumanitoba,5416,1
4,bllumanitoba_5416_10,5,2,12,10,10000,1,0,bllumanitoba,5416,10
7,bllumanitoba_5416_11,4,2,12,10,10000,0,0,bllumanitoba,5416,11
4,bllumanitoba_5416_12,4,2,5.372,3.372,3372,2,1,bllumanitoba,5416,12
4,bllumanitoba_5416_12,3,5.403,12,6.597,6597,2,1,bllumanitoba,5416,12
4,bllumanitoba_5416_13,2,2,4.176,2.176,2176,1,0,bllumanitoba,5416,13
4,bllumanitoba_5416_13,5,4.192,7.68,3.488,3488,1,0,bllumanitoba,5416,13
4,bllumanitoba_5416_13,5,9.264,10.32,1.056,1056,1,0,bllumanitoba,5416,13
2,bllumanitoba_5416_14,4,8.085,11.235,3.15,3150,0,0,bllumanitoba,5416,14
2,bllumanitoba_5416_2,4,2,12,10,10000,0,0,bllumanitoba,5416,2
2,bllumanitoba_5416_3,4,2,12,10,10000,0,0,bllumanitoba,5416,3
2,bllumanitoba_5416_4,4,2,12,10,10000,0,0,bllumanitoba,5416,4
2,bllumanitoba_5416_5,4,2,12,10,10000,0,0,bllumanitoba,5416,5
7,bllumanitoba_5416_6,4,2,12,10,10000,0,0,bllumanitoba,5416,6
4,bllumanitoba_5416_7,4,2,12,10,10000,0,0,bllumanitoba,5416,7
2,bllumanitoba_5416_8,4,2,12,10,10000,0,0,bllumanitoba,5416,8
7,bllumanitoba_5416_9,4,2,12,10,10000,0,0,bllumanitoba,5416,9
4,bllumanitoba_5421_1,4,2,12,10,10000,0,1,bllumanitoba,5421,1
4,bllumanitoba_5421_2,4,2,6.864,4.864,4864,1,1,bllumanitoba,5421,2
4,bllumanitoba_5421_2,5,6.897,10.252,3.355,3355,1,1,bllumanitoba,5421,2
2,bllumanitoba_5421_3,4,2,12,10,10000,0,0,bllumanitoba,5421,3
7,bllumanitoba_5421_4,4,2,12,10,10000,0,0,bllumanitoba,5421,4
2,bllumanitoba_5421_5,4,2,12,10,10000,0,0,bllumanitoba,5421,5
7,bllumanitoba_5421_6,4,2,12,10,10000,0,0,bllumanitoba,5421,6
2,bllumanitoba_5421_7,4,2,12,10,10000,0,0,bllumanitoba,5421,7
2,bllumanitoba_5423_1,4,2,12,10,10000,0,0,bllumanitoba,5423,1
2,bllumanitoba_5423_2,4,2,12,10,10000,0,0,bllumanitoba,5423,2
7,bllumanitoba_5423_3,4,2,12,10,10000,0,0,bllumanitoba,5423,3
7,bllumanitoba_5423_4,4,2,12,10,10000,0,0,bllumanitoba,5423,4
2,bllumanitoba_5423_5,5,5.28,7.425,2.145,2145,1,0,bllumanitoba,5423,5
7,bllumanitoba_5423_6,5,11.385,12,0.615,615,1,0,bllumanitoba,5423,6
2,bllumanitoba_5423_7,4,2,12,10,10000,0,0,bllumanitoba,5423,7
2,bllumanitoba_5423_8,5,4.725,6.567,1.842,1842,1,0,bllumanitoba,5423,8
4,bllumanitoba_5427_1,4,2.505,9.57,7.065,7065,0,0,bllumanitoba,5427,1
7,bllumanitoba_5427_10,4,2,12,10,10000,0,0,bllumanitoba,5427,10
4,bllumanitoba_5427_11,5,3.408,4.448,1.04,1040,1,0,bllumanitoba,5427,11
2,bllumanitoba_5427_12,2,6.105,7.194,1.089,1089,2,0,bllumanitoba,5427,12
4,bllumanitoba_5427_13,4,2,3.795,1.795,1795,0,0,bllumanitoba,5427,13
4,bllumanitoba_5427_13,4,5.709,8.874,3.165,3165,0,0,bllumanitoba,5427,13
2,bllumanitoba_5427_2,4,2,12,10,10000,0,0,bllumanitoba,5427,2
2,bllumanitoba_5427_3,4,2,12,10,10000,0,0,bllumanitoba,5427,3
4,bllumanitoba_5427_4,4,2,4.4166,2.4166,2416.6,0,1,bllumanitoba,5427,4
2,bllumanitoba_5427_5,4,2,12,10,10000,0,0,bllumanitoba,5427,5
4,bllumanitoba_5427_6,4,2,12,10,10000,0,0,bllumanitoba,5427,6
7,bllumanitoba_5427_7,3,2,12,10,10000,2,0,bllumanitoba,5427,7
7,bllumanitoba_5427_8,4,2,12,10,10000,0,0,bllumanitoba,5427,8
4,bllumanitoba_5427_9,3,2.908,7.553,4.645,4645,2,0,bllumanitoba,5427,9
4,bllumanitoba_5427_9,4,7.775,8.637,0.862,862,2,0,bllumanitoba,5427,9
4,bllumanitoba_5427_9,3,10.857,12,1.143,1143,2,0,bllumanitoba,5427,9
4,bllumanitoba_5428_1,4,2,5.035,3.035,3035,1,0,bllumanitoba,5428,1
4,bllumanitoba_5428_1,6,5.082,12,6.918,6918,1,0,bllumanitoba,5428,1
7,bllumanitoba_5428_2,4,2,12,10,10000,0,0,bllumanitoba,5428,2
4,bllumanitoba_5428_3,5,2,6.172,4.172,4172,1,0,bllumanitoba,5428,3
4,bllumanitoba_5428_3,4,6.204,12,5.796,5796,1,0,bllumanitoba,5428,3
7,bllumanitoba_5428_4,4,2,12,10,10000,0,0,bllumanitoba,5428,4
7,bllumanitoba_5428_5,4,2,12,10,10000,0,0,bllumanitoba,5428,5
2,bllumanitoba_5428_6,4,2,12,10,10000,0,0,bllumanitoba,5428,6
4,bllumanitoba_5428_7,4,2,5.973,3.973,3973,1,0,bllumanitoba,5428,7
4,bllumanitoba_5428_7,5,6.006,10.23,4.224,4224,1,0,bllumanitoba,5428,7
7,bllumanitoba_5428_8,4,2,12,10,10000,0,0,bllumanitoba,5428,8
2,bllumanitoba_5429_1,4,2,12,10,10000,0,0,bllumanitoba,5429,1
2,bllumanitoba_5429_2,5,4.422,4.884,0.462,462,1,0,bllumanitoba,5429,2
4,bllumanitoba_5429_3,NA,NA,NA,0,0,NA,NA,bllumanitoba,5429,3
4,bllumanitoba_5429_4,4,2,8.976,6.976,6976,0,0,bllumanitoba,5429,4
4,bllumanitoba_5429_5,NA,NA,NA,0,0,NA,NA,bllumanitoba,5429,5
2,bllumanitoba_5429_6,6,2,3.927,1.927,1927,1,0,bllumanitoba,5429,6
7,bllumanitoba_5434_1,4,2,12,10,10000,0,0,bllumanitoba,5434,1
4,bllumanitoba_5434_10,4,2,12,10,10000,0,0,bllumanitoba,5434,10
7,bllumanitoba_5434_11,4,2,12,10,10000,0,0,bllumanitoba,5434,11
2,bllumanitoba_5434_12,4,2,12,10,10000,0,0,bllumanitoba,5434,12
7,bllumanitoba_5434_13,4,2,12,10,10000,0,0,bllumanitoba,5434,13
4,bllumanitoba_5434_14,4,2,10.131,8.131,8131,0,0,bllumanitoba,5434,14
2,bllumanitoba_5434_2,4,2,12,10,10000,0,0,bllumanitoba,5434,2
4,bllumanitoba_5434_3,4,2,12,10,10000,0,0,bllumanitoba,5434,3
2,bllumanitoba_5434_4,4,2,12,10,10000,0,0,bllumanitoba,5434,4
4,bllumanitoba_5434_5,4,2,12,10,10000,0,0,bllumanitoba,5434,5
7,bllumanitoba_5434_6,4,2,12,10,10000,0,0,bllumanitoba,5434,6
7,bllumanitoba_5434_7,4,2,12,10,10000,0,0,bllumanitoba,5434,7
4,bllumanitoba_5434_8,4,2,12,10,10000,0,0,bllumanitoba,5434,8
2,bllumanitoba_5434_9,4,2,12,10,10000,0,0,bllumanitoba,5434,9
4,bllumanitoba_5436_1,4,2,12,10,10000,0,0,bllumanitoba,5436,1
7,bllumanitoba_5436_10,4,2,12,10,10000,0,0,bllumanitoba,5436,10
4,bllumanitoba_5436_11,4,2,7.788,5.788,5788,0,0,bllumanitoba,5436,11
4,bllumanitoba_5436_11,4,9.367,12,2.633,2633,0,0,bllumanitoba,5436,11
7,bllumanitoba_5436_12,4,2,12,10,10000,0,0,bllumanitoba,5436,12
2,bllumanitoba_5436_13,3,4.323,5.445,1.122,1122,1,0,bllumanitoba,5436,13
2,bllumanitoba_5436_13,3,7.359,9.702,2.343,2343,1,0,bllumanitoba,5436,13
4,bllumanitoba_5436_14,4,2.376,9.498,7.122,7122,0,0,bllumanitoba,5436,14
7,bllumanitoba_5436_2,4,2,12,10,10000,0,0,bllumanitoba,5436,2
2,bllumanitoba_5436_3,4,2,12,10,10000,0,0,bllumanitoba,5436,3
2,bllumanitoba_5436_4,4,6.699,7.359,0.66,660,0,0,bllumanitoba,5436,4
2,bllumanitoba_5436_4,4,10.395,11.187,0.792,792,0,0,bllumanitoba,5436,4
4,bllumanitoba_5436_5,4,2,12,10,10000,0,0,bllumanitoba,5436,5
4,bllumanitoba_5436_6,4,2,12,10,10000,0,0,bllumanitoba,5436,6
2,bllumanitoba_5436_7,4,2,12,10,10000,0,0,bllumanitoba,5436,7
7,bllumanitoba_5436_8,4,2,12,10,10000,0,0,bllumanitoba,5436,8
2,bllumanitoba_5436_9,4,8.745,9.966,1.221,1221,0,0,bllumanitoba,5436,9
2,bllumanitoba_5437_1,4,2,12,10,10000,0,0,bllumanitoba,5437,1
2,bllumanitoba_5437_10,4,2,5.115,3.115,3115,0,0,bllumanitoba,5437,10
4,bllumanitoba_5437_11,4,2,12,10,10000,0,0,bllumanitoba,5437,11
2,bllumanitoba_5437_12,4,6.633,12,5.367,5367,0,0,bllumanitoba,5437,12
7,bllumanitoba_5437_13,4,2,12,10,10000,0,0,bllumanitoba,5437,13
4,bllumanitoba_5437_14,4,2,12,10,10000,0,0,bllumanitoba,5437,14
2,bllumanitoba_5437_2,4,2,12,10,10000,0,0,bllumanitoba,5437,2
7,bllumanitoba_5437_3,4,2,12,10,10000,0,0,bllumanitoba,5437,3
7,bllumanitoba_5437_4,4,2,12,10,10000,0,0,bllumanitoba,5437,4
4,bllumanitoba_5437_5,4,2,12,10,10000,0,0,bllumanitoba,5437,5
4,bllumanitoba_5437_6,4,2,12,10,10000,0,0,bllumanitoba,5437,6
4,bllumanitoba_5437_7,4,2,12,10,10000,0,0,bllumanitoba,5437,7
7,bllumanitoba_5437_8,4,2,12,10,10000,0,0,bllumanitoba,5437,8
7,bllumanitoba_5437_9,4,2,12,10,10000,0,0,bllumanitoba,5437,9
7,bllumanitoba_5438_1,4,2,12,10,10000,0,0,bllumanitoba,5438,1
4,bllumanitoba_5438_2,4,2,12,10,10000,0,0,bllumanitoba,5438,2
2,bllumanitoba_5438_3,4,2,12,10,10000,0,0,bllumanitoba,5438,3
4,bllumanitoba_5438_4,4,2,12,10,10000,0,0,bllumanitoba,5438,4
2,bllumanitoba_5438_5,4,2,12,10,10000,0,0,bllumanitoba,5438,5
7,bllumanitoba_5438_6,4,2,12,10,10000,0,0,bllumanitoba,5438,6
4,bllumanitoba_5438_7,4,2,12,10,10000,0,0,bllumanitoba,5438,7
2,bllumanitoba_5438_8,4,5.94,6.501,0.561,561,0,0,bllumanitoba,5438,8
2,bllumanitoba_5438_8,4,8.415,9.372,0.957,957,0,0,bllumanitoba,5438,8
2,bllumanitoba_5438_9,5,8.778,9.372,0.594,594,1,0,bllumanitoba,5438,9
2,bllumanitoba_5442_1,4,2,12,10,10000,0,0,bllumanitoba,5442,1
7,bllumanitoba_5442_10,4,2,12,10,10000,0,0,bllumanitoba,5442,10
2,bllumanitoba_5442_11,4,2,12,10,10000,0,0,bllumanitoba,5442,11
4,bllumanitoba_5442_12,4,2,12,10,10000,0,0,bllumanitoba,5442,12
2,bllumanitoba_5442_13,4,3.531,7.491,3.96,3960,0,0,bllumanitoba,5442,13
2,bllumanitoba_5442_14,4,2,12,10,10000,0,0,bllumanitoba,5442,14
4,bllumanitoba_5442_2,4,2,12,10,10000,0,0,bllumanitoba,5442,2
2,bllumanitoba_5442_3,4,8.976,10.857,1.881,1881,0,0,bllumanitoba,5442,3
2,bllumanitoba_5442_4,4,2,12,10,10000,0,0,bllumanitoba,5442,4
4,bllumanitoba_5442_5,4,2,10.297,8.297,8297,0,0,bllumanitoba,5442,5
